"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
8 53 12275.5 247.5 TRUE FALSE 1.00432688382725 5.03124175316316
0 4 12304 2.5 FALSE FALSE 1.00032515038205 0.379634420183947
2 29 12320.5 77.5 TRUE FALSE 1.00235657402893 2.75200318642601
0 2 12336 1 FALSE FALSE 1.00016214025132 0.189770733068826
12 111 12392.5 1054.66666666667 TRUE TRUE 1.00899732511956 10.5277791683461
2 20 12458 38.5 FALSE FALSE 1.00160668380463 1.89596122050011
9 63 12499.5 346.666666666667 TRUE FALSE 1.00505293551492 5.9704377590358
3 16 12539 25.5 FALSE FALSE 1.00127683345304 1.51585268302961
4 39 12566.5 136.666666666667 TRUE FALSE 1.00310831274408 3.69413545355155
2 21 12596.5 42.1666666666667 TRUE FALSE 1.00166852057842 1.9887064131583
4 30 12622 82.6666666666667 FALSE FALSE 1.00237963036408 2.84047827746917
0 1 12637.5 0.5 TRUE FALSE 1.00007913270555 0.0946716160976848
15 144 12710 1764.16666666667 FALSE TRUE 1.0113942079443 13.6254280796443
1 10 12787 11 FALSE FALSE 1.00078235017994 0.945676856326145
9 102 12843 892.666666666667 FALSE TRUE 1.00797373358349 9.64197475697415
5 28 12908 72.5 FALSE FALSE 1.00217155266015 2.64557339204589
16 133 12988.5 1507.5 TRUE TRUE 1.01029252437703 12.5592121999002
2 38 13074 130 FALSE FALSE 1.00291076216009 3.5861539585685
2 10 13098 11 FALSE FALSE 1.00076376689834 0.943564675731523
5 55 13130.5 266 TRUE FALSE 1.00419751202015 5.18840002726165
4 22 13169 46 FALSE FALSE 1.00167198662411 2.07479615873194
5 59 13209.5 305 TRUE FALSE 1.00447647951442 5.56263259922184
12 106 13292 963 FALSE TRUE 1.00800664702772 9.98811101634396
0 9 13349.5 9.16666666666667 TRUE FALSE 1.00067440989135 0.847706548104043
1 23 13365.5 50 TRUE FALSE 1.0017223303879 2.16612519296359
6 55 13404.5 266 TRUE FALSE 1.00411153472378 5.17845297367876
1 17 13440.5 28.5 TRUE FALSE 1.00126563430613 1.6002184556794
10 88 13493 667.5 FALSE FALSE 1.00654323741542 8.280457893007
4 54 13564 256.666666666667 FALSE FALSE 1.00398906700155 5.07871901744261
5 47 13614.5 196 TRUE FALSE 1.00345817084836 4.41884880799716
5 52 13664 238.5 FALSE FALSE 1.00381287578824 4.88728631319918
12 74 13727 475 FALSE FALSE 1.00540540540541 6.95201952809271
2 32 13780 93.5 FALSE FALSE 1.00232490555071 3.0052064389597
0 2 13797 1 FALSE FALSE 1.00014496955639 0.187804501382743
4 38 13817 130 FALSE FALSE 1.00275402232208 3.56780874616652
13 104 13888 927.5 FALSE TRUE 1.00751662330153 9.7598745525188
21 244 14062 5022.5 FALSE TRUE 1.01750358680057 22.8718115970703
2 32 14200 93.5 FALSE FALSE 1.00225606316977 2.9968737667275
5 72 14252 450.166666666667 FALSE FALSE 1.00506471581317 6.74068819198374
2 16 14296 25.5 FALSE FALSE 1.00111982082867 1.49750462427642
9 100 14354 858.5 FALSE TRUE 1.00699105145414 9.35592645080578
0 2 14405 1 FALSE FALSE 1.00013885031936 0.187056784624474
1 2 14407 1 FALSE FALSE 1.00013883104262 0.187055105957825
1 10 14413 11 FALSE FALSE 1.00069405885619 0.935237253205514
2 9 14422.5 9.16666666666667 TRUE FALSE 1.00062421972534 0.841663339298066
6 52 14453 238.5 FALSE FALSE 1.00360435294933 4.86199028381407
1 13 14485.5 17.5 TRUE FALSE 1.00089785206161 1.21524621539857
4 45 14514.5 180.166666666667 TRUE FALSE 1.0031051614684 4.20584431219777
0 3 14538.5 1.66666666666667 TRUE FALSE 1.00020636995253 0.28034670516081
8 61 14570.5 325.5 TRUE FALSE 1.00419532324622 5.69922938613172
0 7 14604.5 6 TRUE FALSE 1.00047941921786 0.653869364600041
0 3 14609.5 1.66666666666667 TRUE FALSE 1.00020536692223 0.280221386016592
4 22 14622 46 FALSE FALSE 1.00150571487236 2.05478948281711
3 34 14650 105 FALSE FALSE 1.00232351534204 3.17502885640806
9 79 14706.5 540 TRUE FALSE 1.00538624122179 7.37466031841041
